Name,URL,Status,Success,Duration(ms),Stars,Category,Subcategory,SourceFile,Error
"Echo","https://github.com/labstack/echo",200,true,1004,"29k+","Go (10 Skills)","","skill-research-phase5-batch1.md",""
"GORM","https://github.com/go-gorm/gorm",200,true,1140,"36k+","Go (10 Skills)","","skill-research-phase5-batch1.md",""
"Cobra","https://github.com/spf13/cobra",200,true,896,"38k+","Go (10 Skills)","","skill-research-phase5-batch1.md",""
"Viper","https://github.com/spf13/viper",200,true,927,"26k+","Go (10 Skills)","","skill-research-phase5-batch1.md",""
"Fiber","https://github.com/gofiber/fiber",200,true,1041,"31k+","Go (10 Skills)","","skill-research-phase5-batch1.md",""
"go-zero","https://github.com/zeromicro/go-zero",200,true,1027,"28k+","Go (10 Skills)","","skill-research-phase5-batch1.md",""
"testify","https://github.com/stretchr/testify",200,true,898,"22k+","Go (10 Skills)","","skill-research-phase5-batch1.md",""
"zap","https://github.com/uber-go/zap",200,true,882,"21k+","Go (10 Skills)","","skill-research-phase5-batch1.md",""
"air","https://github.com/cosmtrek/air",200,true,1014,"16k+","Go (10 Skills)","","skill-research-phase5-batch1.md",""
"Vite","https://github.com/vitejs/vite",200,true,253,"61k+","Build Tools & Bundlers (10 Skills)","","skill-research-phase5-batch2.md",""
"esbuild","https://github.com/evanw/esbuild",200,true,791,"39k+","Build Tools & Bundlers (10 Skills)","","skill-research-phase5-batch2.md",""
"Webpack","https://github.com/webpack/webpack",200,true,1063,"64k+","Build Tools & Bundlers (10 Skills)","","skill-research-phase5-batch2.md",""
"Rollup","https://github.com/rollup/rollup",200,true,963,"25k+","Build Tools & Bundlers (10 Skills)","","skill-research-phase5-batch2.md",""
"Rspack","https://github.com/web-infra-dev/rspack",200,true,841,"8k+","Build Tools & Bundlers (10 Skills)","","skill-research-phase5-batch2.md",""
"SWC","https://github.com/swc-project/swc",200,true,969,"31k+","Build Tools & Bundlers (10 Skills)","","skill-research-phase5-batch2.md",""
"Turbopack","https://github.com/vercel/next.js",200,true,312,"125k+","Build Tools & Bundlers (10 Skills)","","skill-research-phase5-batch2.md",""
"Rsbuild","https://github.com/web-infra-dev/rsbuild",200,true,870,"3k+","Build Tools & Bundlers (10 Skills)","","skill-research-phase5-batch2.md",""
"Babel","https://github.com/babel/babel",200,true,913,"42k+","Build Tools & Bundlers (10 Skills)","","skill-research-phase5-batch2.md",""
"PostCSS","https://github.com/postcss/postcss",200,true,1033,"28k+","Build Tools & Bundlers (10 Skills)","","skill-research-phase5-batch2.md",""
"Bootstrap","https://github.com/twbs/bootstrap",200,true,885,"174k+","CSS Frameworks & UI Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"Tailwind CSS","https://github.com/tailwindlabs/tailwindcss",200,true,869,"78k+","CSS Frameworks & UI Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"Material UI","https://github.com/mui/material-ui",200,true,956,"91k+","CSS Frameworks & UI Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"Ant Design","https://github.com/ant-design/ant-design",200,true,922,"97k+","CSS Frameworks & UI Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"Chakra UI","https://github.com/chakra-ui/chakra-ui",200,true,878,"40k+","CSS Frameworks & UI Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"Shadcn/ui","https://github.com/shadcn-ui/ui",200,true,971,"55k+","CSS Frameworks & UI Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"Radix UI","https://github.com/radix-ui/primitives",200,true,933,"15k+","CSS Frameworks & UI Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"Bulma","https://github.com/jgthms/bulma",200,true,863,"48k+","CSS Frameworks & UI Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"Headless UI","https://github.com/tailwindlabs/headlessui",200,true,960,"25k+","CSS Frameworks & UI Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"Mantine","https://github.com/mantinedev/mantine",200,true,914,"25k+","CSS Frameworks & UI Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"Zustand","https://github.com/pmndrs/zustand",200,true,884,"47k+","State Management Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"Redux Toolkit","https://github.com/reduxjs/redux-toolkit",200,true,893,"10k+","State Management Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"MobX","https://github.com/mobxjs/mobx",200,true,853,"27k+","State Management Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"Jotai","https://github.com/pmndrs/jotai",200,true,1080,"10k+","State Management Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"Pinia","https://github.com/vuejs/pinia",200,true,921,"13k+","State Management Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"Recoil","https://github.com/facebookexperimental/Recoil",200,true,838,"19k+","State Management Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"XState","https://github.com/statelyai/xstate",200,true,1045,"25k+","State Management Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"Valtio","https://github.com/pmndrs/valtio",200,true,1056,"5k+","State Management Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"TanStack Store","https://github.com/TanStack/store",200,true,914,"5k+","State Management Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"SolidJS","https://github.com/solidjs/solid",200,true,904,"30k+","State Management Libraries (10 Skills)","","skill-research-phase5-batch2.md",""
"Jest","https://github.com/jestjs/jest",200,true,1152,"42k+","Frontend Testing Frameworks (10 Skills)","","skill-research-phase5-batch2.md",""
"Vitest","https://github.com/vitest-dev/vitest",200,true,968,"12k+","Frontend Testing Frameworks (10 Skills)","","skill-research-phase5-batch2.md",""
"Playwright","https://github.com/microsoft/playwright",200,true,837,"64k+","Frontend Testing Frameworks (10 Skills)","","skill-research-phase5-batch2.md",""
"Cypress","https://github.com/cypress-io/cypress",200,true,949,"46k+","Frontend Testing Frameworks (10 Skills)","","skill-research-phase5-batch2.md",""
"Testing Library","https://github.com/testing-library/dom-testing-library",200,true,1060,"45k+","Frontend Testing Frameworks (10 Skills)","","skill-research-phase5-batch2.md",""
"MSW","https://github.com/mswjs/msw",200,true,884,"15k+","Frontend Testing Frameworks (10 Skills)","","skill-research-phase5-batch2.md",""
"React Testing Library","https://github.com/testing-library/react-testing-library",200,true,1027,"19k+","Frontend Testing Frameworks (10 Skills)","","skill-research-phase5-batch2.md",""
"Storybook","https://github.com/storybookjs/storybook",200,true,1048,"83k+","Frontend Testing Frameworks (10 Skills)","","skill-research-phase5-batch2.md",""
"uvu","https://github.com/lukeed/uvu",200,true,849,"3k+","Frontend Testing Frameworks (10 Skills)","","skill-research-phase5-batch2.md",""
"Puppeteer","https://github.com/puppeteer/puppeteer",200,true,962,"87k+","Frontend Testing Frameworks (10 Skills)","","skill-research-phase5-batch2.md",""
"Spring Boot","https://github.com/spring-projects/spring-boot",200,true,897,"70k+","Java Backend (8 Skills)","","skill-research-phase5-batch3.md",""
"Quarkus","https://github.com/quarkusio/quarkus",200,true,962,"13k+","Java Backend (8 Skills)","","skill-research-phase5-batch3.md",""
"Micronaut","https://github.com/micronaut-projects/micronaut-core",200,true,915,"6k+","Java Backend (8 Skills)","","skill-research-phase5-batch3.md",""
"Jakarta EE","https://github.com/jakartaee/platform",200,true,1088,"500+","Java Backend (8 Skills)","","skill-research-phase5-batch3.md",""
"Hibernate ORM","https://github.com/hibernate/hibernate-orm",200,true,843,"6k+","Java Backend (8 Skills)","","skill-research-phase5-batch3.md",""
"Apache Tomcat","https://github.com/apache/tomcat",200,true,2135,"3k+","Java Backend (8 Skills)","","skill-research-phase5-batch3.md",""
"Netty","https://github.com/netty/netty",200,true,932,"33k+","Java Backend (8 Skills)","","skill-research-phase5-batch3.md",""
"Spring Security","https://github.com/spring-projects/spring-security",200,true,990,"8k+","Java Backend (8 Skills)","","skill-research-phase5-batch3.md",""
"ASP.NET Core","https://github.com/dotnet/aspnetcore",200,true,909,"35k+",".NET/Core (6 Skills)","","skill-research-phase5-batch3.md",""
"Entity Framework Core","https://github.com/dotnet/efcore",200,true,924,"13k+",".NET/Core (6 Skills)","","skill-research-phase5-batch3.md",""
"Dapr","https://github.com/dapr/dapr",200,true,976,"23k+",".NET/Core (6 Skills)","","skill-research-phase5-batch3.md",""
"Orleans","https://github.com/dotnet/orleans",200,true,930,"10k+",".NET/Core (6 Skills)","","skill-research-phase5-batch3.md",""
"MassTransit","https://github.com/MassTransit/MassTransit",200,true,952,"6k+",".NET/Core (6 Skills)","","skill-research-phase5-batch3.md",""
"Serilog","https://github.com/serilog/serilog",200,true,1101,"7k+",".NET/Core (6 Skills)","","skill-research-phase5-batch3.md",""
"Ruby on Rails","https://github.com/rails/rails",200,true,1638,"58k+","Ruby Frameworks (5 Skills)","","skill-research-phase5-batch3.md",""
"Sinatra","https://github.com/sinatra/sinatra",200,true,980,"12k+","Ruby Frameworks (5 Skills)","","skill-research-phase5-batch3.md",""
"Hanami","https://github.com/hanami/hanami",200,true,957,"6k+","Ruby Frameworks (5 Skills)","","skill-research-phase5-batch3.md",""
"Grape","https://github.com/ruby-grape/grape",200,true,1158,"10k+","Ruby Frameworks (5 Skills)","","skill-research-phase5-batch3.md",""
"Puma","https://github.com/puma/puma",200,true,966,"8k+","Ruby Frameworks (5 Skills)","","skill-research-phase5-batch3.md",""
"Laravel","https://github.com/laravel/framework",200,true,847,"80k+","PHP Frameworks (6 Skills)","","skill-research-phase5-batch3.md",""
"Symfony","https://github.com/symfony/symfony",200,true,1175,"30k+","PHP Frameworks (6 Skills)","","skill-research-phase5-batch3.md",""
"Slim","https://github.com/slimphp/Slim",200,true,947,"13k+","PHP Frameworks (6 Skills)","","skill-research-phase5-batch3.md",""
"Yii2","https://github.com/yiisoft/yii2",200,true,808,"14k+","PHP Frameworks (6 Skills)","","skill-research-phase5-batch3.md",""
"CodeIgniter 4","https://github.com/codeigniter4/CodeIgniter4",200,true,1431,"5k+","PHP Frameworks (6 Skills)","","skill-research-phase5-batch3.md",""
"CakePHP","https://github.com/cakephp/cakephp",200,true,870,"9k+","PHP Frameworks (6 Skills)","","skill-research-phase5-batch3.md",""
"TypeORM","https://github.com/typeorm/typeorm",200,true,867,"34k+","Database ORMs (8 Skills)","","skill-research-phase5-batch3.md",""
"Prisma","https://github.com/prisma/prisma",200,true,908,"38k+","Database ORMs (8 Skills)","","skill-research-phase5-batch3.md",""
"MikroORM","https://github.com/mikro-orm/mikro-orm",200,true,960,"6k+","Database ORMs (8 Skills)","","skill-research-phase5-batch3.md",""
"Sequelize","https://github.com/sequelize/sequelize",200,true,895,"30k+","Database ORMs (8 Skills)","","skill-research-phase5-batch3.md",""
"SQLAlchemy","https://github.com/sqlalchemy/sqlalchemy",200,true,1021,"10k+","Database ORMs (8 Skills)","","skill-research-phase5-batch3.md",""
"Django ORM","https://github.com/django/django",200,true,930,"80k+","Database ORMs (8 Skills)","","skill-research-phase5-batch3.md",""
"Mongoose","https://github.com/Automattic/mongoose",200,true,976,"27k+","Database ORMs (8 Skills)","","skill-research-phase5-batch3.md",""
"Peewee","https://github.com/coleifer/peewee",200,true,832,"11k+","Database ORMs (8 Skills)","","skill-research-phase5-batch3.md",""
"Apollo Server","https://github.com/apollographql/apollo-server",200,true,984,"20k+","API Tools (7 Skills)","","skill-research-phase5-batch3.md",""
"GraphQL Yoga","https://github.com/dotansimha/graphql-yoga",200,true,974,"8k+","API Tools (7 Skills)","","skill-research-phase5-batch3.md",""
"gRPC","https://github.com/grpc/grpc",200,true,949,"42k+","API Tools (7 Skills)","","skill-research-phase5-batch3.md",""
"gRPC-Java","https://github.com/grpc/grpc-java",200,true,1161,"12k+","API Tools (7 Skills)","","skill-research-phase5-batch3.md",""
"gRPC-Node","https://github.com/grpc/grpc-node",200,true,881,"5k+","API Tools (7 Skills)","","skill-research-phase5-batch3.md",""
"Swagger UI","https://github.com/swagger-api/swagger-ui",200,true,1010,"26k+","API Tools (7 Skills)","","skill-research-phase5-batch3.md",""
"OpenAPI Generator","https://github.com/OpenAPITools/openapi-generator",200,true,946,"21k+","API Tools (7 Skills)","","skill-research-phase5-batch3.md",""
"PostgreSQL","https://github.com/postgres/postgres",200,true,898,"16k+","Databases (23 Skills)","","skill-research-phase5-batch4.md",""
"MongoDB","https://github.com/mongodb/mongo",200,true,1039,"26k+","Databases (23 Skills)","","skill-research-phase5-batch4.md",""
"Redis","https://github.com/redis/redis",200,true,1092,"65k+","Databases (23 Skills)","","skill-research-phase5-batch4.md",""
"Cassandra","https://github.com/apache/cassandra",200,true,1014,"9k+","Databases (23 Skills)","","skill-research-phase5-batch4.md",""
"Elasticsearch","https://github.com/elastic/elasticsearch",200,true,913,"68k+","Databases (23 Skills)","","skill-research-phase5-batch4.md",""
"Kibana","https://github.com/elastic/kibana",200,true,1041,"19k+","Databases (23 Skills)","","skill-research-phase5-batch4.md",""
"ClickHouse","https://github.com/ClickHouse/ClickHouse",200,true,967,"37k+","Databases (23 Skills)","","skill-research-phase5-batch4.md",""
"TimescaleDB","https://github.com/timescale/timescaledb",200,true,1188,"17k+","Databases (23 Skills)","","skill-research-phase5-batch4.md",""
"InfluxDB","https://github.com/influxdata/influxdb",200,true,892,"27k+","Databases (23 Skills)","","skill-research-phase5-batch4.md",""
"QuestDB","https://github.com/questdb/questdb",200,true,912,"14k+","Databases (23 Skills)","","skill-research-phase5-batch4.md",""
"Apache Druid","https://github.com/apache/druid",200,true,1075,"13k+","Databases (23 Skills)","","skill-research-phase5-batch4.md",""
"Neo4j","https://github.com/neo4j/neo4j",200,true,950,"12k+","Databases (23 Skills)","","skill-research-phase5-batch4.md",""
"SQLite","https://github.com/sqlite/sqlite",200,true,798,"5k+","Databases (23 Skills)","","skill-research-phase5-batch4.md",""
"DuckDB","https://github.com/duckdb/duckdb",200,true,874,"18k+","Databases (23 Skills)","","skill-research-phase5-batch4.md",""
"Apache Calcite","https://github.com/apache/calcite",200,true,919,"4k+","Databases (23 Skills)","","skill-research-phase5-batch4.md",""
"Apache Pinot","https://github.com/apache/pinot",200,true,962,"5k+","Databases (23 Skills)","","skill-research-phase5-batch4.md",""
"Symfony","https://github.com/symfony/symfony",200,true,267,"30k+","Databases (23 Skills)","","skill-research-phase5-batch4.md",""
"Jest","https://github.com/jestjs/jest",200,true,970,"43k+","Testing Frameworks (23 Skills)","","skill-research-phase5-batch4.md",""
"Vitest","https://github.com/vitest-dev/vitest",200,true,877,"12k+","Testing Frameworks (23 Skills)","","skill-research-phase5-batch4.md",""
"Mocha","https://github.com/mochajs/mocha",200,true,869,"23k+","Testing Frameworks (23 Skills)","","skill-research-phase5-batch4.md",""
"Chai","https://github.com/chaijs/chai",200,true,950,"9k+","Testing Frameworks (23 Skills)","","skill-research-phase5-batch4.md",""
"QUnit","https://github.com/qunitjs/qunit",200,true,898,"4k+","Testing Frameworks (23 Skills)","","skill-research-phase5-batch4.md",""
"AVA","https://github.com/avajs/ava",200,true,990,"20k+","Testing Frameworks (23 Skills)","","skill-research-phase5-batch4.md",""
"Testing Library","https://github.com/testing-library/dom-testing-library",200,true,932,"46k+","Testing Frameworks (23 Skills)","","skill-research-phase5-batch4.md",""
"JUnit 5","https://github.com/junit-team/junit5",200,true,1011,"6k+","Testing Frameworks (23 Skills)","","skill-research-phase5-batch4.md",""
"Mockito","https://github.com/mockito/mockito",200,true,913,"14k+","Testing Frameworks (23 Skills)","","skill-research-phase5-batch4.md",""
"TestNG","https://github.com/testng-team/testng",200,true,914,"2k+","Testing Frameworks (23 Skills)","","skill-research-phase5-batch4.md",""
"Selenium","https://github.com/SeleniumHQ/selenium",200,true,1310,"29k+","Testing Frameworks (23 Skills)","","skill-research-phase5-batch4.md",""
"Appium","https://github.com/appium/appium",200,true,981,"18k+","Testing Frameworks (23 Skills)","","skill-research-phase5-batch4.md",""
"Pytest","https://github.com/pytest-dev/pytest",200,true,900,"12k+","Testing Frameworks (23 Skills)","","skill-research-phase5-batch4.md",""
"RSpec","https://github.com/rspec/rspec",200,true,1038,"5k+","Testing Frameworks (23 Skills)","","skill-research-phase5-batch4.md",""
"Testify","https://github.com/stretchr/testify",200,true,985,"22k+","Testing Frameworks (23 Skills)","","skill-research-phase5-batch4.md",""
"Locust","https://github.com/locustio/locust",200,true,1149,"23k+","Testing Frameworks (23 Skills)","","skill-research-phase5-batch4.md",""
"Apache JMeter","https://github.com/apache/jmeter",200,true,890,"8k+","Testing Frameworks (23 Skills)","","skill-research-phase5-batch4.md",""
"Hypothesis","https://github.com/HypothesisWorks/hypothesis",200,true,830,"7k+","Testing Frameworks (23 Skills)","","skill-research-phase5-batch4.md",""
"Gradle","https://github.com/gradle/gradle",200,true,867,"17k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Maven","https://github.com/apache/maven",200,true,959,"4k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Apache Ant","https://github.com/apache/ant",200,true,1156,"600+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Webpack","https://github.com/webpack/webpack",200,true,1093,"64k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Vite","https://github.com/vitejs/vite",200,true,977,"65k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Rollup","https://github.com/rollup/rollup",200,true,987,"26k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"esbuild","https://github.com/evanw/esbuild",200,true,785,"37k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Parcel","https://github.com/parcel-bundler/parcel",200,true,1048,"43k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"WMR","https://github.com/preactjs/wmr",200,true,844,"2k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"npm","https://github.com/npm/cli",200,true,1014,"8k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Yarn","https://github.com/yarnpkg/yarn",200,true,876,"42k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"pnpm","https://github.com/pnpm/pnpm",200,true,1459,"30k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Bower","https://github.com/bower/bower",200,true,896,"16k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"pip","https://github.com/pypa/pip",200,true,828,"9k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Poetry","https://github.com/python-poetry/poetry",200,true,837,"31k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Cargo","https://github.com/rust-lang/cargo",200,true,1010,"11k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Bazel","https://github.com/bazelbuild/bazel",200,true,984,"22k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Buck","https://github.com/facebook/buck",200,true,1064,"9k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Nix","https://github.com/NixOS/nix",200,true,1006,"12k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Hugo","https://github.com/gohugoio/hugo",200,true,1126,"76k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Actions Toolkit","https://github.com/actions/toolkit",200,true,920,"4k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Next.js","https://github.com/vercel/next.js",200,true,882,"125k+","Build Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Jenkins","https://github.com/jenkinsci/jenkins",200,true,822,"23k+","CI/CD Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Actions Runner Controller","https://github.com/actions/actions-runner-controller",200,true,916,"4k+","CI/CD Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"GitLab","https://github.com/gitlabhq/gitlab",200,true,910,"35k+","CI/CD Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Drone","https://github.com/drone/drone",200,true,874,"29k+","CI/CD Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"CircleCI CLI","https://github.com/CircleCI-Public/circleci-cli",200,true,1000,"700+","CI/CD Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Travis CI","https://github.com/travis-ci/travis-ci",200,true,848,"8k+","CI/CD Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Buildbot","https://github.com/buildbot/buildbot",200,true,919,"6k+","CI/CD Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Terraform","https://github.com/hashicorp/terraform",200,true,919,"42k+","CI/CD Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Ansible","https://github.com/ansible/ansible",200,true,981,"62k+","CI/CD Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Docker CE","https://github.com/docker/docker-ce",200,true,845,"7k+","CI/CD Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Kubernetes","https://github.com/kubernetes/kubernetes",200,true,1008,"109k+","CI/CD Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Helm","https://github.com/helm/helm",200,true,883,"26k+","CI/CD Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Prometheus","https://github.com/prometheus/prometheus",200,true,944,"54k+","CI/CD Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Grafana","https://github.com/grafana/grafana",200,true,1021,"62k+","CI/CD Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Gitea","https://github.com/go-gitea/gitea",200,true,980,"45k+","CI/CD Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"SonarQube","https://github.com/SonarSource/sonarqube",200,true,875,"9k+","CI/CD Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"Nuclei","https://github.com/projectdiscovery/nuclei",200,true,940,"18k+","CI/CD Tools (23 Skills)","","skill-research-phase5-batch4.md",""
"GitLens","https://github.com/eamodio/vscode-gitlens",200,true,1066,"18k+","Code Editors (30 Skills)","VS Code Extensions (8)","skill-research-phase5-batch5.md",""
"IntelliCode","https://github.com/visualstudioexptteam/vscodeintellicode",404,false,652,"5k+","Code Editors (30 Skills)","VS Code Extensions (8)","skill-research-phase5-batch5.md",""
"Live Server","https://github.com/microsoft/vscode-live-server",404,false,599,"4k+","Code Editors (30 Skills)","VS Code Extensions (8)","skill-research-phase5-batch5.md",""
"ESLint","https://github.com/dbaeumer/vscode-eslint",200,true,1072,"4k+","Code Editors (30 Skills)","VS Code Extensions (8)","skill-research-phase5-batch5.md",""
"Prettier","https://github.com/esbenp/prettier-vscode",200,true,884,"4k+","Code Editors (30 Skills)","VS Code Extensions (8)","skill-research-phase5-batch5.md",""
"Error Lens","https://github.com/usernamehw/vscode-error-lens",200,true,1274,"2k+","Code Editors (30 Skills)","VS Code Extensions (8)","skill-research-phase5-batch5.md",""
"TODO Highlight","https://github.com/wayou/vscode-todo-highlight",200,true,1117,"2k+","Code Editors (30 Skills)","VS Code Extensions (8)","skill-research-phase5-batch5.md",""
"Open in GitHub","https://github.com/chrisdias/vscode-open-in-github",404,false,613,"1k+","Code Editors (30 Skills)","VS Code Extensions (8)","skill-research-phase5-batch5.md",""
"Telescope","https://github.com/nvim-telescope/telescope.nvim",200,true,1217,"9k+","Code Editors (30 Skills)","Neovim Plugins (14)","skill-research-phase5-batch5.md",""
"Treesitter","https://github.com/nvim-treesitter/nvim-treesitter",200,true,996,"8k+","Code Editors (30 Skills)","Neovim Plugins (14)","skill-research-phase5-batch5.md",""
"nvim-lspconfig","https://github.com/neovim/nvim-lspconfig",200,true,908,"7k+","Code Editors (30 Skills)","Neovim Plugins (14)","skill-research-phase5-batch5.md",""
"nvim-cmp","https://github.com/hrsh7th/nvim-cmp",200,true,894,"6k+","Code Editors (30 Skills)","Neovim Plugins (14)","skill-research-phase5-batch5.md",""
"Gitsigns","https://github.com/lewis6991/gitsigns.nvim",200,true,888,"5k+","Code Editors (30 Skills)","Neovim Plugins (14)","skill-research-phase5-batch5.md",""
"which-key.nvim","https://github.com/folke/which-key.nvim",200,true,872,"4k+","Code Editors (30 Skills)","Neovim Plugins (14)","skill-research-phase5-batch5.md",""
