Name,URL,Stars,Quality,Score,HasContent,RecentUpdate,IsArchived,Language,Category,Subcategory,Reasons
"Material UI","https://github.com/mui/material-ui",97770,"excellent",7,true,true,false,"JavaScript","CSS Frameworks & UI Libraries (10 Skills)","","All criteria met"
"Ant Design","https://github.com/ant-design/ant-design",97460,"excellent",7,true,true,false,"TypeScript","CSS Frameworks & UI Libraries (10 Skills)","","All criteria met"
"Chakra UI","https://github.com/chakra-ui/chakra-ui",40218,"excellent",7,true,true,false,"TypeScript","CSS Frameworks & UI Libraries (10 Skills)","","All criteria met"
"Shadcn/ui","https://github.com/shadcn-ui/ui",106221,"excellent",7,true,true,false,"TypeScript","CSS Frameworks & UI Libraries (10 Skills)","","All criteria met"
"Radix UI","https://github.com/radix-ui/primitives",18521,"excellent",7,true,true,false,"TypeScript","CSS Frameworks & UI Libraries (10 Skills)","","All criteria met"
"Bulma","https://github.com/jgthms/bulma",48k+,"unknown",0,undefined,undefined,undefined,"","CSS Frameworks & UI Libraries (10 Skills)","",""
"Headless UI","https://github.com/tailwindlabs/headlessui",28377,"excellent",7,true,true,false,"TypeScript","CSS Frameworks & UI Libraries (10 Skills)","","All criteria met"
"Mantine","https://github.com/mantinedev/mantine",25k+,"unknown",0,undefined,undefined,undefined,"","CSS Frameworks & UI Libraries (10 Skills)","",""
"Zustand","https://github.com/pmndrs/zustand",47000,"good",5,true,true,false,"","State Management Libraries (10 Skills)","","Based on research data only"
"Redux Toolkit","https://github.com/reduxjs/redux-toolkit",10000,"good",5,true,true,false,"","State Management Libraries (10 Skills)","","Based on research data only"
"MobX","https://github.com/mobxjs/mobx",27000,"good",5,true,true,false,"","State Management Libraries (10 Skills)","","Based on research data only"
"Jotai","https://github.com/pmndrs/jotai",10000,"good",5,true,true,false,"","State Management Libraries (10 Skills)","","Based on research data only"
"Pinia","https://github.com/vuejs/pinia",13000,"good",5,true,true,false,"","State Management Libraries (10 Skills)","","Based on research data only"
"Recoil","https://github.com/facebookexperimental/Recoil",19000,"good",5,true,true,false,"","State Management Libraries (10 Skills)","","Based on research data only"
"XState","https://github.com/statelyai/xstate",25000,"good",5,true,true,false,"","State Management Libraries (10 Skills)","","Based on research data only"
"Valtio","https://github.com/pmndrs/valtio",5000,"good",5,true,true,false,"","State Management Libraries (10 Skills)","","Based on research data only"
"TanStack Store","https://github.com/TanStack/store",5000,"good",5,true,true,false,"","State Management Libraries (10 Skills)","","Based on research data only"
"SolidJS","https://github.com/solidjs/solid",30000,"good",5,true,true,false,"","State Management Libraries (10 Skills)","","Based on research data only"
"Jest","https://github.com/jestjs/jest",42000,"good",5,true,true,false,"","Frontend Testing Frameworks (10 Skills)","","Based on research data only"
"Vitest","https://github.com/vitest-dev/vitest",12000,"good",5,true,true,false,"","Frontend Testing Frameworks (10 Skills)","","Based on research data only"
"Playwright","https://github.com/microsoft/playwright",64000,"good",5,true,true,false,"","Frontend Testing Frameworks (10 Skills)","","Based on research data only"
"Cypress","https://github.com/cypress-io/cypress",46000,"good",5,true,true,false,"","Frontend Testing Frameworks (10 Skills)","","Based on research data only"
"Testing Library","https://github.com/testing-library/dom-testing-library",45000,"good",5,true,true,false,"","Frontend Testing Frameworks (10 Skills)","","Based on research data only"
"MSW","https://github.com/mswjs/msw",15000,"good",5,true,true,false,"","Frontend Testing Frameworks (10 Skills)","","Based on research data only"
"React Testing Library","https://github.com/testing-library/react-testing-library",19000,"good",5,true,true,false,"","Frontend Testing Frameworks (10 Skills)","","Based on research data only"
"Storybook","https://github.com/storybookjs/storybook",83000,"good",5,true,true,false,"","Frontend Testing Frameworks (10 Skills)","","Based on research data only"
"uvu","https://github.com/lukeed/uvu",3000,"good",5,true,true,false,"","Frontend Testing Frameworks (10 Skills)","","Based on research data only"
"Puppeteer","https://github.com/puppeteer/puppeteer",87000,"good",5,true,true,false,"","Frontend Testing Frameworks (10 Skills)","","Based on research data only"
"Spring Boot","https://github.com/spring-projects/spring-boot",70000,"good",5,true,true,false,"","Java Backend (8 Skills)","","Based on research data only"
"Quarkus","https://github.com/quarkusio/quarkus",13000,"good",5,true,true,false,"","Java Backend (8 Skills)","","Based on research data only"
"Micronaut","https://github.com/micronaut-projects/micronaut-core",6000,"good",5,true,true,false,"","Java Backend (8 Skills)","","Based on research data only"
"Jakarta EE","https://github.com/jakartaee/platform",500,"good",5,true,true,false,"","Java Backend (8 Skills)","","Based on research data only"
"Hibernate ORM","https://github.com/hibernate/hibernate-orm",6000,"good",5,true,true,false,"","Java Backend (8 Skills)","","Based on research data only"
"Apache Tomcat","https://github.com/apache/tomcat",3000,"good",5,true,true,false,"","Java Backend (8 Skills)","","Based on research data only"
"Netty","https://github.com/netty/netty",33000,"good",5,true,true,false,"","Java Backend (8 Skills)","","Based on research data only"
"Spring Security","https://github.com/spring-projects/spring-security",8000,"good",5,true,true,false,"","Java Backend (8 Skills)","","Based on research data only"
"ASP.NET Core","https://github.com/dotnet/aspnetcore",35000,"good",5,true,true,false,"",".NET/Core (6 Skills)","","Based on research data only"
"Entity Framework Core","https://github.com/dotnet/efcore",13000,"good",5,true,true,false,"",".NET/Core (6 Skills)","","Based on research data only"
"Dapr","https://github.com/dapr/dapr",23000,"good",5,true,true,false,"",".NET/Core (6 Skills)","","Based on research data only"
"Orleans","https://github.com/dotnet/orleans",10000,"good",5,true,true,false,"",".NET/Core (6 Skills)","","Based on research data only"
"MassTransit","https://github.com/MassTransit/MassTransit",6000,"good",5,true,true,false,"",".NET/Core (6 Skills)","","Based on research data only"
"Serilog","https://github.com/serilog/serilog",7000,"good",5,true,true,false,"",".NET/Core (6 Skills)","","Based on research data only"
"Ruby on Rails","https://github.com/rails/rails",58000,"good",5,true,true,false,"","Ruby Frameworks (5 Skills)","","Based on research data only"
"Sinatra","https://github.com/sinatra/sinatra",12000,"good",5,true,true,false,"","Ruby Frameworks (5 Skills)","","Based on research data only"
"Hanami","https://github.com/hanami/hanami",6000,"good",5,true,true,false,"","Ruby Frameworks (5 Skills)","","Based on research data only"
"Grape","https://github.com/ruby-grape/grape",10000,"good",5,true,true,false,"","Ruby Frameworks (5 Skills)","","Based on research data only"
"Puma","https://github.com/puma/puma",8000,"good",5,true,true,false,"","Ruby Frameworks (5 Skills)","","Based on research data only"
"Laravel","https://github.com/laravel/framework",80000,"good",5,true,true,false,"","PHP Frameworks (6 Skills)","","Based on research data only"
"Symfony","https://github.com/symfony/symfony",30000,"good",5,true,true,false,"","PHP Frameworks (6 Skills)","","Based on research data only"
"Slim","https://github.com/slimphp/Slim",13000,"good",5,true,true,false,"","PHP Frameworks (6 Skills)","","Based on research data only"
"Yii2","https://github.com/yiisoft/yii2",14000,"good",5,true,true,false,"","PHP Frameworks (6 Skills)","","Based on research data only"
"CodeIgniter 4","https://github.com/codeigniter4/CodeIgniter4",5000,"good",5,true,true,false,"","PHP Frameworks (6 Skills)","","Based on research data only"
"CakePHP","https://github.com/cakephp/cakephp",9000,"good",5,true,true,false,"","PHP Frameworks (6 Skills)","","Based on research data only"
"TypeORM","https://github.com/typeorm/typeorm",34000,"good",5,true,true,false,"","Database ORMs (8 Skills)","","Based on research data only"
"Prisma","https://github.com/prisma/prisma",38000,"good",5,true,true,false,"","Database ORMs (8 Skills)","","Based on research data only"
"MikroORM","https://github.com/mikro-orm/mikro-orm",6000,"good",5,true,true,false,"","Database ORMs (8 Skills)","","Based on research data only"
"Sequelize","https://github.com/sequelize/sequelize",30000,"good",5,true,true,false,"","Database ORMs (8 Skills)","","Based on research data only"
"SQLAlchemy","https://github.com/sqlalchemy/sqlalchemy",10000,"good",5,true,true,false,"","Database ORMs (8 Skills)","","Based on research data only"
"Django ORM","https://github.com/django/django",80000,"good",5,true,true,false,"","Database ORMs (8 Skills)","","Based on research data only"
"Mongoose","https://github.com/Automattic/mongoose",27000,"good",5,true,true,false,"","Database ORMs (8 Skills)","","Based on research data only"
"Peewee","https://github.com/coleifer/peewee",11000,"good",5,true,true,false,"","Database ORMs (8 Skills)","","Based on research data only"
"Apollo Server","https://github.com/apollographql/apollo-server",20000,"good",5,true,true,false,"","API Tools (7 Skills)","","Based on research data only"
"GraphQL Yoga","https://github.com/dotansimha/graphql-yoga",8000,"good",5,true,true,false,"","API Tools (7 Skills)","","Based on research data only"
"gRPC","https://github.com/grpc/grpc",42000,"good",5,true,true,false,"","API Tools (7 Skills)","","Based on research data only"
"gRPC-Java","https://github.com/grpc/grpc-java",12000,"good",5,true,true,false,"","API Tools (7 Skills)","","Based on research data only"
"gRPC-Node","https://github.com/grpc/grpc-node",5000,"good",5,true,true,false,"","API Tools (7 Skills)","","Based on research data only"
"Swagger UI","https://github.com/swagger-api/swagger-ui",26000,"good",5,true,true,false,"","API Tools (7 Skills)","","Based on research data only"
"OpenAPI Generator","https://github.com/OpenAPITools/openapi-generator",21000,"good",5,true,true,false,"","API Tools (7 Skills)","","Based on research data only"
"PostgreSQL","https://github.com/postgres/postgres",16000,"good",5,true,true,false,"","Databases (23 Skills)","","Based on research data only"
"MongoDB","https://github.com/mongodb/mongo",26000,"good",5,true,true,false,"","Databases (23 Skills)","","Based on research data only"
"Redis","https://github.com/redis/redis",65000,"good",5,true,true,false,"","Databases (23 Skills)","","Based on research data only"
"Cassandra","https://github.com/apache/cassandra",9000,"good",5,true,true,false,"","Databases (23 Skills)","","Based on research data only"
"Elasticsearch","https://github.com/elastic/elasticsearch",68000,"good",5,true,true,false,"","Databases (23 Skills)","","Based on research data only"
"Kibana","https://github.com/elastic/kibana",19000,"good",5,true,true,false,"","Databases (23 Skills)","","Based on research data only"
"ClickHouse","https://github.com/ClickHouse/ClickHouse",37000,"good",5,true,true,false,"","Databases (23 Skills)","","Based on research data only"
"TimescaleDB","https://github.com/timescale/timescaledb",17000,"good",5,true,true,false,"","Databases (23 Skills)","","Based on research data only"
"InfluxDB","https://github.com/influxdata/influxdb",27000,"good",5,true,true,false,"","Databases (23 Skills)","","Based on research data only"
"QuestDB","https://github.com/questdb/questdb",14000,"good",5,true,true,false,"","Databases (23 Skills)","","Based on research data only"
"Apache Druid","https://github.com/apache/druid",13000,"good",5,true,true,false,"","Databases (23 Skills)","","Based on research data only"
"Neo4j","https://github.com/neo4j/neo4j",12000,"good",5,true,true,false,"","Databases (23 Skills)","","Based on research data only"
"SQLite","https://github.com/sqlite/sqlite",5000,"good",5,true,true,false,"","Databases (23 Skills)","","Based on research data only"
"DuckDB","https://github.com/duckdb/duckdb",18000,"good",5,true,true,false,"","Databases (23 Skills)","","Based on research data only"
"Apache Calcite","https://github.com/apache/calcite",4000,"good",5,true,true,false,"","Databases (23 Skills)","","Based on research data only"
"Apache Pinot","https://github.com/apache/pinot",5000,"good",5,true,true,false,"","Databases (23 Skills)","","Based on research data only"
"Symfony","https://github.com/symfony/symfony",30000,"good",5,true,true,false,"","Databases (23 Skills)","","Based on research data only"
"Jest","https://github.com/jestjs/jest",43000,"good",5,true,true,false,"","Testing Frameworks (23 Skills)","","Based on research data only"
"Vitest","https://github.com/vitest-dev/vitest",12000,"good",5,true,true,false,"","Testing Frameworks (23 Skills)","","Based on research data only"
"Mocha","https://github.com/mochajs/mocha",23000,"good",5,true,true,false,"","Testing Frameworks (23 Skills)","","Based on research data only"
"Chai","https://github.com/chaijs/chai",9000,"good",5,true,true,false,"","Testing Frameworks (23 Skills)","","Based on research data only"
"QUnit","https://github.com/qunitjs/qunit",4000,"good",5,true,true,false,"","Testing Frameworks (23 Skills)","","Based on research data only"
"AVA","https://github.com/avajs/ava",20000,"good",5,true,true,false,"","Testing Frameworks (23 Skills)","","Based on research data only"
"Testing Library","https://github.com/testing-library/dom-testing-library",46000,"good",5,true,true,false,"","Testing Frameworks (23 Skills)","","Based on research data only"
"JUnit 5","https://github.com/junit-team/junit5",6000,"good",5,true,true,false,"","Testing Frameworks (23 Skills)","","Based on research data only"
"Mockito","https://github.com/mockito/mockito",14000,"good",5,true,true,false,"","Testing Frameworks (23 Skills)","","Based on research data only"
"TestNG","https://github.com/testng-team/testng",2000,"good",5,true,true,false,"","Testing Frameworks (23 Skills)","","Based on research data only"
"Selenium","https://github.com/SeleniumHQ/selenium",29000,"good",5,true,true,false,"","Testing Frameworks (23 Skills)","","Based on research data only"
"Appium","https://github.com/appium/appium",18000,"good",5,true,true,false,"","Testing Frameworks (23 Skills)","","Based on research data only"
"Pytest","https://github.com/pytest-dev/pytest",12000,"good",5,true,true,false,"","Testing Frameworks (23 Skills)","","Based on research data only"
"RSpec","https://github.com/rspec/rspec",5000,"good",5,true,true,false,"","Testing Frameworks (23 Skills)","","Based on research data only"
"Testify","https://github.com/stretchr/testify",22000,"good",5,true,true,false,"","Testing Frameworks (23 Skills)","","Based on research data only"
"Locust","https://github.com/locustio/locust",23000,"good",5,true,true,false,"","Testing Frameworks (23 Skills)","","Based on research data only"
"Apache JMeter","https://github.com/apache/jmeter",8000,"good",5,true,true,false,"","Testing Frameworks (23 Skills)","","Based on research data only"
"Hypothesis","https://github.com/HypothesisWorks/hypothesis",7000,"good",5,true,true,false,"","Testing Frameworks (23 Skills)","","Based on research data only"
"Gradle","https://github.com/gradle/gradle",17000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"Maven","https://github.com/apache/maven",4000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"Apache Ant","https://github.com/apache/ant",600,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"Webpack","https://github.com/webpack/webpack",64000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"Vite","https://github.com/vitejs/vite",65000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"Rollup","https://github.com/rollup/rollup",26000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"esbuild","https://github.com/evanw/esbuild",37000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"Parcel","https://github.com/parcel-bundler/parcel",43000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"WMR","https://github.com/preactjs/wmr",2000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"npm","https://github.com/npm/cli",8000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"Yarn","https://github.com/yarnpkg/yarn",42000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"pnpm","https://github.com/pnpm/pnpm",30000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"Bower","https://github.com/bower/bower",16000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"pip","https://github.com/pypa/pip",9000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"Poetry","https://github.com/python-poetry/poetry",31000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"Cargo","https://github.com/rust-lang/cargo",11000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"Bazel","https://github.com/bazelbuild/bazel",22000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"Buck","https://github.com/facebook/buck",9000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"Nix","https://github.com/NixOS/nix",12000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"Hugo","https://github.com/gohugoio/hugo",76000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"Actions Toolkit","https://github.com/actions/toolkit",4000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"Next.js","https://github.com/vercel/next.js",125000,"good",5,true,true,false,"","Build Tools (23 Skills)","","Based on research data only"
"Jenkins","https://github.com/jenkinsci/jenkins",23000,"good",5,true,true,false,"","CI/CD Tools (23 Skills)","","Based on research data only"
"Actions Runner Controller","https://github.com/actions/actions-runner-controller",4000,"good",5,true,true,false,"","CI/CD Tools (23 Skills)","","Based on research data only"
"GitLab","https://github.com/gitlabhq/gitlab",35000,"good",5,true,true,false,"","CI/CD Tools (23 Skills)","","Based on research data only"
"Drone","https://github.com/drone/drone",29000,"good",5,true,true,false,"","CI/CD Tools (23 Skills)","","Based on research data only"
"CircleCI CLI","https://github.com/CircleCI-Public/circleci-cli",700,"good",5,true,true,false,"","CI/CD Tools (23 Skills)","","Based on research data only"
"Travis CI","https://github.com/travis-ci/travis-ci",8000,"good",5,true,true,false,"","CI/CD Tools (23 Skills)","","Based on research data only"
"Buildbot","https://github.com/buildbot/buildbot",6000,"good",5,true,true,false,"","CI/CD Tools (23 Skills)","","Based on research data only"
"Terraform","https://github.com/hashicorp/terraform",42000,"good",5,true,true,false,"","CI/CD Tools (23 Skills)","","Based on research data only"
"Ansible","https://github.com/ansible/ansible",62000,"good",5,true,true,false,"","CI/CD Tools (23 Skills)","","Based on research data only"
"Docker CE","https://github.com/docker/docker-ce",7000,"good",5,true,true,false,"","CI/CD Tools (23 Skills)","","Based on research data only"
"Kubernetes","https://github.com/kubernetes/kubernetes",109000,"good",5,true,true,false,"","CI/CD Tools (23 Skills)","","Based on research data only"
"Helm","https://github.com/helm/helm",26000,"good",5,true,true,false,"","CI/CD Tools (23 Skills)","","Based on research data only"
"Prometheus","https://github.com/prometheus/prometheus",54000,"good",5,true,true,false,"","CI/CD Tools (23 Skills)","","Based on research data only"
"Grafana","https://github.com/grafana/grafana",62000,"good",5,true,true,false,"","CI/CD Tools (23 Skills)","","Based on research data only"
"Gitea","https://github.com/go-gitea/gitea",45000,"good",5,true,true,false,"","CI/CD Tools (23 Skills)","","Based on research data only"
"SonarQube","https://github.com/SonarSource/sonarqube",9000,"good",5,true,true,false,"","CI/CD Tools (23 Skills)","","Based on research data only"
"Nuclei","https://github.com/projectdiscovery/nuclei",18000,"good",5,true,true,false,"","CI/CD Tools (23 Skills)","","Based on research data only"
"GitLens","https://github.com/eamodio/vscode-gitlens",18000,"good",5,true,true,false,"","Code Editors (30 Skills)","VS Code Extensions (8)","Based on research data only"
"ESLint","https://github.com/dbaeumer/vscode-eslint",4000,"good",5,true,true,false,"","Code Editors (30 Skills)","VS Code Extensions (8)","Based on research data only"
"Prettier","https://github.com/esbenp/prettier-vscode",4000,"good",5,true,true,false,"","Code Editors (30 Skills)","VS Code Extensions (8)","Based on research data only"
"Error Lens","https://github.com/usernamehw/vscode-error-lens",2000,"good",5,true,true,false,"","Code Editors (30 Skills)","VS Code Extensions (8)","Based on research data only"
"TODO Highlight","https://github.com/wayou/vscode-todo-highlight",2000,"good",5,true,true,false,"","Code Editors (30 Skills)","VS Code Extensions (8)","Based on research data only"
"Telescope","https://github.com/nvim-telescope/telescope.nvim",9000,"good",5,true,true,false,"","Code Editors (30 Skills)","Neovim Plugins (14)","Based on research data only"
"Treesitter","https://github.com/nvim-treesitter/nvim-treesitter",8000,"good",5,true,true,false,"","Code Editors (30 Skills)","Neovim Plugins (14)","Based on research data only"
"nvim-lspconfig","https://github.com/neovim/nvim-lspconfig",7000,"good",5,true,true,false,"","Code Editors (30 Skills)","Neovim Plugins (14)","Based on research data only"
"nvim-cmp","https://github.com/hrsh7th/nvim-cmp",6000,"good",5,true,true,false,"","Code Editors (30 Skills)","Neovim Plugins (14)","Based on research data only"
"Gitsigns","https://github.com/lewis6991/gitsigns.nvim",5000,"good",5,true,true,false,"","Code Editors (30 Skills)","Neovim Plugins (14)","Based on research data only"
"which-key.nvim","https://github.com/folke/which-key.nvim",4000,"good",5,true,true,false,"","Code Editors (30 Skills)","Neovim Plugins (14)","Based on research data only"
"tokyonight.nvim","https://github.com/folke/tokyonight.nvim",4000,"good",5,true,true,false,"","Code Editors (30 Skills)","Neovim Plugins (14)","Based on research data only"
"undotree","https://github.com/mbbill/undotree",3000,"good",5,true,true,false,"","Code Editors (30 Skills)","Neovim Plugins (14)","Based on research data only"
"bufferline.nvim","https://github.com/akinsho/bufferline.nvim",3000,"good",5,true,true,false,"","Code Editors (30 Skills)","Neovim Plugins (14)","Based on research data only"
"indent-blankline","https://github.com/lukas-reineke/indent-blankline.nvim",3000,"good",5,true,true,false,"","Code Editors (30 Skills)","Neovim Plugins (14)","Based on research data only"
"lualine.nvim","https://github.com/nvim-lualine/lualine.nvim",4000,"good",5,true,true,false,"","Code Editors (30 Skills)","Neovim Plugins (14)","Based on research data only"
"nvim-tree.lua","https://github.com/kyazdani42/nvim-tree.lua",5000,"good",5,true,true,false,"","Code Editors (30 Skills)","Neovim Plugins (14)","Based on research data only"
"dressing.nvim","https://github.com/stevearc/dressing.nvim",2000,"good",5,true,true,false,"","Code Editors (30 Skills)","Neovim Plugins (14)","Based on research data only"
"Nvim","https://github.com/neovim/neovim",80000,"good",5,true,true,false,"","Code Editors (30 Skills)","Neovim Plugins (14)","Based on research data only"
"vim-fugitive","https://github.com/tpope/vim-fugitive",20000,"good",5,true,true,false,"","Code Editors (30 Skills)","Vim Plugins (6)","Based on research data only"
"vim-plug","https://github.com/junegunn/vim-plug",30000,"good",5,true,true,false,"","Code Editors (30 Skills)","Vim Plugins (6)","Based on research data only"
